date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:07:32	243/243	---MCZ	403	error ('Forbidden')	application/xml	date:Thu,%2010%20Nov%202022%2006:37:32%20GMT	https://preview.hasthemes.com/panshi/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/prajapaticateringservices/preview.hasthemes.com/panshi/fonts/glyphicons-halflings-regular.woff	(from https://preview.hasthemes.com/panshi/css/bootstrap.min.css)
12:07:32	243/243	---MCZ	403	error ('Forbidden')	application/xml	date:Thu,%2010%20Nov%202022%2006:37:32%20GMT	https://preview.hasthemes.com/panshi/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/prajapaticateringservices/preview.hasthemes.com/panshi/fonts/glyphicons-halflings-regular.ttf	(from https://preview.hasthemes.com/panshi/css/bootstrap.min.css)
12:07:33	243/243	---MCZ	403	error ('Forbidden')	application/xml	date:Thu,%2010%20Nov%202022%2006:37:33%20GMT	https://preview.hasthemes.com/panshi/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/prajapaticateringservices/preview.hasthemes.com/panshi/fonts/glyphicons-halflings-regular.svg	(from https://preview.hasthemes.com/panshi/css/bootstrap.min.css)
12:07:34	165742/165742	---M--	200	added ('OK')	binary/octet-stream	etag:%22674f50d287a8c48dc19ba404d20fe713%22	https://preview.hasthemes.com/panshi/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/prajapaticateringservices/preview.hasthemes.com/panshi/fonts/fontawesome-webfont3e6e.eot	(from https://preview.hasthemes.com/panshi/css/font-awesome.min.css)
12:07:34	77160/77160	---M--	200	added ('OK')	binary/octet-stream	etag:%22af7ae505a9eed503f8b8e6982036873e%22	https://preview.hasthemes.com/panshi/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/prajapaticateringservices/preview.hasthemes.com/panshi/fonts/fontawesome-webfont3e6e.woff2	(from https://preview.hasthemes.com/panshi/css/font-awesome.min.css)
12:07:34	165742/165742	---M--	200	added ('OK')	binary/octet-stream	etag:%22674f50d287a8c48dc19ba404d20fe713%22	https://preview.hasthemes.com/panshi/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/prajapaticateringservices/preview.hasthemes.com/panshi/fonts/fontawesome-webfontd41d.eot	(from https://preview.hasthemes.com/panshi/css/font-awesome.min.css)
12:07:35	98024/98024	---M--	200	added ('OK')	binary/octet-stream	etag:%22fee66e712a8a08eef5805a46892932ad%22	https://preview.hasthemes.com/panshi/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/prajapaticateringservices/preview.hasthemes.com/panshi/fonts/fontawesome-webfont3e6e.woff	(from https://preview.hasthemes.com/panshi/css/font-awesome.min.css)
12:07:35	165548/165548	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%22b06871f281fee6b241d60582ae9369b9%22	https://preview.hasthemes.com/panshi/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/prajapaticateringservices/preview.hasthemes.com/panshi/fonts/fontawesome-webfont3e6e.ttf	(from https://preview.hasthemes.com/panshi/css/font-awesome.min.css)
12:07:35	444379/444379	---M--	200	added ('OK')	binary/octet-stream	etag:%22912ec66d7572ff821749319396470bde%22	https://preview.hasthemes.com/panshi/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/prajapaticateringservices/preview.hasthemes.com/panshi/fonts/fontawesome-webfont3e6e.svg	(from https://preview.hasthemes.com/panshi/css/font-awesome.min.css)
12:07:36	19346/19346	---MCZ	200	added ('OK')	text/css	etag:W/%2257f582f056239213bd711400691726f3%22	https://preview.hasthemes.com/panshi/css/shortcode/default.css	C:/My%20Web%20Sites/prajapaticateringservices/preview.hasthemes.com/panshi/css/shortcode/default.css	(from https://preview.hasthemes.com/panshi/css/shortcode/shortcodes.css)
12:07:36	3540/3540	---MCZ	200	added ('OK')	text/css	etag:W/%22bdd85eb060c603e6189b0b203d58a359%22	https://preview.hasthemes.com/panshi/css/meanmenu.css	C:/My%20Web%20Sites/prajapaticateringservices/preview.hasthemes.com/panshi/css/meanmenu.css	(from https://preview.hasthemes.com/panshi/css/shortcode/shortcodes.css)
12:07:36	85304/85304	---MCZ	200	added ('OK')	text/css	etag:W/%220920ea34072683229e6ea8299345cd09%22	https://preview.hasthemes.com/panshi/css/material-design-iconic-font.css	C:/My%20Web%20Sites/prajapaticateringservices/preview.hasthemes.com/panshi/css/material-design-iconic-font.css	(from https://preview.hasthemes.com/panshi/css/shortcode/shortcodes.css)
12:07:37	70815/70815	---MCZ	200	added ('OK')	text/css	etag:W/%22e9365fe85b7e4db79a87015e52c3db6c%22	https://preview.hasthemes.com/panshi/css/material-design-iconic-font.min.css	C:/My%20Web%20Sites/prajapaticateringservices/preview.hasthemes.com/panshi/css/material-design-iconic-font.min.css	(from https://preview.hasthemes.com/panshi/css/shortcode/shortcodes.css)
